bank_difference,native_class,hand,entry_mass,contrast,count,mean_bb,paired_descriptive_se_bb
first-new minus first-old,0,22,0.004790793724696479,call_minus_fold,311,2.846277746362701,1.0303722651585674
first-new minus first-old,0,22,0.004790793724696479,raise_minus_fold,311,1.4703661019822318,1.603732182476362
first-new minus first-old,0,22,0.004790793724696479,raise_minus_call,311,-1.3759116443804693,1.6951203726458328
first-new minus first-old,1,32o,0.009512847260521819,call_minus_fold,637,0.2634663394197171,0.24735503529774525
first-new minus first-old,1,32o,0.009512847260521819,raise_minus_fold,637,2.9912013648144886,0.7445169668440599
first-new minus first-old,1,32o,0.009512847260521819,raise_minus_call,637,2.7277350253947716,0.7872078422185107
first-new minus first-old,2,42o,0.009506641694301852,call_minus_fold,612,2.7571597275153708,0.5038263258303336
first-new minus first-old,2,42o,0.009506641694301852,raise_minus_fold,612,1.0446779683179084,0.5480958383456321
first-new minus first-old,2,42o,0.009506641694301852,raise_minus_call,612,-1.7124817591974622,0.6590962860789292
first-new minus first-old,3,52o,0.009429105229310572,call_minus_fold,620,0.15897314340210578,0.20604317185352541
first-new minus first-old,3,52o,0.009429105229310572,raise_minus_fold,620,0.4988644433145561,0.7811407677058875
first-new minus first-old,3,52o,0.009429105229310572,raise_minus_call,620,0.3398912999124502,0.7568846651868181
first-new minus first-old,4,62o,0.009429352148007004,call_minus_fold,605,-0.22502705929864458,0.19322128000638744
first-new minus first-old,4,62o,0.009429352148007004,raise_minus_fold,605,1.0768288323290682,0.6214476733342518
first-new minus first-old,4,62o,0.009429352148007004,raise_minus_call,605,1.3018558916277128,0.5705272006604449
first-new minus first-old,5,72o,0.009396037340559372,call_minus_fold,627,-0.009656291865111367,0.2403349390925685
first-new minus first-old,5,72o,0.009396037340559372,raise_minus_fold,627,0.3854119989714032,0.6809506403881588
first-new minus first-old,5,72o,0.009396037340559372,raise_minus_call,627,0.3950682908365145,0.7697017380054176
first-new minus first-old,6,82o,0.009361703242193552,call_minus_fold,627,-1.5691677860336815,0.35892312877068966
first-new minus first-old,6,82o,0.009361703242193552,raise_minus_fold,627,-4.24882066672704,0.6723756708595298
first-new minus first-old,6,82o,0.009361703242193552,raise_minus_call,627,-2.679652880693358,0.6439634226700373
first-new minus first-old,7,92o,0.009296117200453959,call_minus_fold,643,0.108997528463899,0.20014558876246877
first-new minus first-old,7,92o,0.009296117200453959,raise_minus_fold,643,0.783350556787285,0.5431904489274492
