gpu: 904065 nodes, 15 levels, staging+arenas 12309.7 MB
MATURITY_REFERENCE_EXACT iteration=4
MATURITY_PROGRESS {"iteration":50,"seconds":10.1166493}
MATURITY_PROGRESS {"iteration":100,"seconds":20.3354049}
MATURITY_PROGRESS {"iteration":150,"seconds":27.1385413}
MATURITY_PROGRESS {"iteration":200,"seconds":33.956893}
MATURITY_PROGRESS {"iteration":250,"seconds":40.7763263}
MATURITY_PROGRESS {"iteration":300,"seconds":47.5896655}
MATURITY_PROGRESS {"iteration":350,"seconds":54.4091209}
MATURITY_PROGRESS {"iteration":400,"seconds":61.2418475}
MATURITY_PROGRESS {"iteration":450,"seconds":68.0609149}
MATURITY_PROGRESS {"iteration":500,"seconds":77.3802536}
MATURITY_PROGRESS {"iteration":550,"seconds":84.1910067}
MATURITY_PROGRESS {"iteration":600,"seconds":91.0150147}
MATURITY_PROGRESS {"iteration":650,"seconds":97.8469275}
MATURITY_PROGRESS {"iteration":700,"seconds":104.6782891}
MATURITY_PROGRESS {"iteration":750,"seconds":111.4956953}
MATURITY_PROGRESS {"iteration":800,"seconds":118.3116947}
MATURITY_PROGRESS {"iteration":850,"seconds":125.1389553}
MATURITY_PROGRESS {"iteration":900,"seconds":131.9581052}
MATURITY_PROGRESS {"iteration":950,"seconds":138.7824236}
MATURITY_PROGRESS {"iteration":1000,"seconds":145.603212}
MATURITY_PROGRESS {"iteration":1050,"seconds":152.4276036}
MATURITY_PROGRESS {"iteration":1100,"seconds":159.253497}
MATURITY_PROGRESS {"iteration":1150,"seconds":166.0764696}
MATURITY_PROGRESS {"iteration":1200,"seconds":172.8992033}
MATURITY_PROGRESS {"iteration":1250,"seconds":179.7363963}
MATURITY_PROGRESS {"iteration":1300,"seconds":186.5612853}
MATURITY_PROGRESS {"iteration":1350,"seconds":193.3864715}
MATURITY_PROGRESS {"iteration":1400,"seconds":200.2142376}
MATURITY_PROGRESS {"iteration":1450,"seconds":207.0433446}
MATURITY_PROGRESS {"iteration":1500,"seconds":213.8706934}
MATURITY_PROGRESS {"iteration":1550,"seconds":220.7030595}
MATURITY_PROGRESS {"iteration":1600,"seconds":227.8682683}
MATURITY_PROGRESS {"iteration":1650,"seconds":235.7766423}
MATURITY_PROGRESS {"iteration":1700,"seconds":243.5834887}
MATURITY_PROGRESS {"iteration":1750,"seconds":251.3460986}
MATURITY_PROGRESS {"iteration":1800,"seconds":259.1043613}
MATURITY_PROGRESS {"iteration":1850,"seconds":266.9234453}
MATURITY_PROGRESS {"iteration":1900,"seconds":274.7841714}
MATURITY_PROGRESS {"iteration":1950,"seconds":282.8276237}
MATURITY_PROGRESS {"iteration":2000,"seconds":293.2548994}
MATURITY_DONE {"allocated_device_arena_bytes":5774926136,"board":"KsQd9d","canonical_state_bytes":3440369296,"convergence_claim":false,"elapsed_seconds":293.2549287,"export_seconds":11.826508100000002,"iterations":2000,"note":"Registered deterministic changing reaches repeat every 23 iterations, plus zero BB reach at iteration 2. Late-state entropy probe only, not a fixed-game equilibrium or connected preflop training.","player_sweeps":4000,"reference_at_four_exact":true,"snapshots":[{"bytes":3440369368,"header":[5139820294034423809,0,0,4,295578192,134467970,295578192,134467970,5578214001430617162],"iteration":4,"path":"S:\\GTOpen-research\\hu-wide-maturity-v1\\iteration-0004.bin"},{"bytes":3440369368,"header":[5139820294034423809,0,0,100,295578192,134467970,295578192,134467970,6012771740014373611],"iteration":100,"path":"S:\\GTOpen-research\\hu-wide-maturity-v1\\iteration-0100.bin"},{"bytes":3440369368,"header":[5139820294034423809,0,0,500,295578192,134467970,295578192,134467970,7862008679774338278],"iteration":500,"path":"S:\\GTOpen-research\\hu-wide-maturity-v1\\iteration-0500.bin"},{"bytes":3440369368,"header":[5139820294034423809,0,0,2000,295578192,134467970,295578192,134467970,10925661889625867890],"iteration":2000,"path":"S:\\GTOpen-research\\hu-wide-maturity-v1\\iteration-2000.bin"}],"strategic_accuracy_claim":false,"support":[169,96],"sweep_seconds":281.39952579999937}
