hand,entry_mass,first-old_fold,first-old_call,first-old_raise,first-old_jam,first-new_fold,first-new_call,first-new_raise,first-new_jam,replication-old_fold,replication-old_call,replication-old_raise,replication-old_jam,replication-new_fold,replication-new_call,replication-new_raise,replication-new_jam,baseline_cross_seed_TV,candidate_cross_seed_TV,first_matched_change_TV,replication_matched_change_TV
AA,0.004790793724696479,0.9987965837594549,0.00044317471520117363,0.0006790990391381114,8.114248620577734e-05,0.004417988820565214,0.9842383232157033,0.011262545477525848,8.114248620577734e-05,0.029059711291121258,0.9666544568741732,0.004204689348499763,8.114248620577734e-05,0.10665317201820577,0.8910634628979707,0.0022022225976177884,8.114248620577734e-05,0.9697368724683336,0.1022351831976406,0.9943785949388898,0.07759346072708449
AKs,0.009512847260521819,0.9646967214977674,0.03510170675372232,0.00012042926230459529,8.114248620577734e-05,0.5758105604247423,0.42398786782674736,0.00012042926230459529,8.114248620577734e-05,0.8553025885539025,0.14450668530174102,0.0001095836581505519,8.114248620577734e-05,0.7888636447521375,0.2109456291035061,0.0001095836581505519,8.114248620577734e-05,0.10940497854801882,0.21305308432739525,0.3888861610730251,0.06643894380176502
AQs,0.009506641694301852,0.9988566194943524,0.0009810955332358957,8.114248620577734e-05,8.114248620577734e-05,0.5300895112732474,0.4697482037543409,8.114248620577734e-05,8.114248620577734e-05,0.9956176448702593,0.00032375889085895133,0.003977453752676026,8.114248620577734e-05,0.8897121604974942,0.11012555453009416,8.114248620577734e-05,8.114248620577734e-05,0.0038963112664701822,0.3596226492242468,0.468767108221105,0.10980179563923524
AJs,0.009429105229310572,0.2173294162669779,0.780556049382415,0.0020333918644013767,8.114248620577734e-05,0.6899186357339657,0.28802931057344644,0.02197091120638211,8.114248620577734e-05,0.9742759458365233,0.025538532281969204,0.00010437939530168158,8.114248620577734e-05,0.5088604680366091,0.4007846830318797,0.09027370644530532,8.114248620577734e-05,0.7569465295695454,0.18105816769735655,0.4925267388089685,0.4654154777999142
ATs,0.009429352148007004,0.39983206502761015,0.14621937819691208,0.45386741428927196,8.114248620577734e-05,0.31050059834219995,0.4518876971397021,0.23753056203189182,8.114248620577734e-05,0.5358372609530919,0.45143159129815524,0.01265000526254718,8.114248620577734e-05,0.9368938363566718,0.06289996257247266,0.0001250585846497589,8.114248620577734e-05,0.44121740902672485,0.6263932380144717,0.3056683189427902,0.4010565754035799
A9s,0.009396037340559372,0.5008664955716682,0.3886137154722891,0.11043864646983707,8.114248620577734e-05,0.7785572107587398,0.22090771132642056,0.00045393542863375776,8.114248620577734e-05,0.2487942794542189,0.7510431367209698,8.144133860560422e-05,8.114248620577734e-05,0.19462979162051675,0.7980701731214825,0.007218892771794844,8.114248620577734e-05,0.3624294212486807,0.5839274191382231,0.2776907151870718,0.05416448783370207
A8s,0.009361703242193552,0.17998252451981875,0.8049420183666295,0.01499431462734599,8.114248620577734e-05,0.993148102804057,0.0065476725630543775,0.00022308214668297386,8.114248620577734e-05,0.9641824090513023,0.03552053261219863,0.00021591585029326574,8.114248620577734e-05,0.9843938542420085,0.010838465152602554,0.004686538119183078,8.114248620577734e-05,0.7841998845314835,0.008754248562048353,0.8131655782842382,0.024682067459596085
A7s,0.009296117200453959,0.2346771753865941,0.7651605396409945,8.114248620577734e-05,8.114248620577734e-05,0.28992752462923405,0.7099101903983542,8.114248620577734e-05,8.114248620577734e-05,0.999113787847218,0.0006805353007045481,0.0001245343658715884,8.114248620577734e-05,0.7389856859669274,0.17807386446612122,0.08285930708074574,8.114248620577734e-05,0.7644800043402898,0.5318363259322332,0.05525034924264011,0.26012810188029073
A6s,0.009255431872587724,0.6605259970598003,0.33921679100567576,0.00017606944831808662,8.114248620577734e-05,0.31555635398074355,0.6838857080395127,0.0004767954935380889,8.114248620577734e-05,0.9991789821170574,0.0005326293273037214,0.0002072460694330727,8.114248620577734e-05,0.4139045107843574,0.5850892547412953,0.0009250919881414923,8.114248620577734e-05,0.338684161678372,0.09879645329821733,0.3449696430790568,0.5852744713326999
A5s,0.009236259296157876,0.3193098912307528,0.6805278237968354,8.114248620577734e-05,8.114248620577734e-05,0.060240988909327026,0.48557445595391086,0.45410341265055604,8.114248620577734e-05,0.7497968276842203,0.2500408873433684,8.114248620577734e-05,8.114248620577734e-05,0.9967441733127191,0.003093541714869367,8.114248620577734e-05,8.114248620577734e-05,0.43048693645346725,0.936503184403392,0.45402227016435026,0.24694734562849893
A4s,0.009145610283355409,0.9592548102184516,0.04058290480913684,8.114248620577734e-05,8.114248620577734e-05,0.9603876734752713,0.0394500415523171,8.114248620577734e-05,8.114248620577734e-05,0.505367811546639,0.4345439177672283,0.06000712819992711,8.114248620577734e-05,0.9990756926180138,0.0006232013527576399,0.00021996354302292618,8.114248620577734e-05,0.4538869986718127,0.03882684019955952,0.0011328632568197265,0.49370788107137475
A3s,0.009055534566697113,0.0027181108723091534,0.996908128480574,0.00029261816091107176,8.114248620577734e-05,0.5373919331147998,0.39746454667210707,0.06506237772688749,8.114248620577734e-05,0.6695417458512087,0.1291470384182905,0.20123007324429512,8.114248620577734e-05,0.48775641424628874,0.10722042761154142,0.4049420156559641,8.114248620577734e-05,0.8677610900622835,0.33987963792907666,0.599443581808467,0.203711942411669
A2s,0.008750471453727546,0.9134586948320685,0.05096051663114126,0.035499646050584456,8.114248620577734e-05,0.20182151834830322,0.7978614224391407,0.00023591672635035302,8.114248620577734e-05,0.0038259057032161317,0.634222305594615,0.36187064621596327,8.114248620577734e-05,0.7724591874027094,0.22523239583382268,0.0022272742772620614,8.114248620577734e-05,0.9096327891288525,0.5726290266053179,0.7469009058079995,0.7686332816994934
AKo,0.00317094900525911,0.5993253543659076,0.4005123606616808,8.114248620577734e-05,8.114248620577734e-05,0.4248944122819419,0.5737468219078501,0.0012776233240022875,8.114248620577734e-05,0.8146522110171994,0.17558406110299796,0.009682585393597074,8.114248620577734e-05,0.3422668479970229,0.3795131458018803,0.2781388637148911,8.114248620577734e-05,0.22492829955868296,0.27686124039088883,0.17443094208396576,0.4723853630201764
KK,0.00474131789843658,0.16121893518286093,0.6870921633117468,0.1514079746284909,0.0002809268769011335,0.21900081332874996,0.7796215137172895,8.114248620577734e-05,0.0012965304677547797,0.0697667881761997,0.9296513150352559,8.114248620577734e-05,0.0005007543023386988,0.1985664826835947,0.7152680875626699,0.08566467545139668,0.0005007543023386988,0.24277897914894647,0.0855835329651909,0.1513268321422852,0.21438322747258592
KQs,0.009457166113881007,0.6889725667929131,0.31086514823467526,8.114248620577734e-05,8.114248620577734e-05,0.9888212035644474,0.011016511463141138,8.114248620577734e-05,8.114248620577734e-05,0.9563893751264891,0.02433097336294915,0.019198509024355978,8.114248620577734e-05,0.6609302446951362,0.33890066668383606,8.794613482209223e-05,8.114248620577734e-05,0.2865341748717262,0.3278909588693112,0.29984863677153417,0.31456969332088686
KJs,0.009379629648889725,0.1844278476745799,0.8154098673530082,8.114248620577734e-05,8.114248620577734e-05,0.0004373565774702068,0.9994003584501182,8.114248620577734e-05,8.114248620577734e-05,0.14221029207678265,0.8576274229508056,8.114248620577734e-05,8.114248620577734e-05,0.4664525592206203,0.5333851558069682,8.114248620577734e-05,8.114248620577734e-05,0.042217555597797315,0.46601520264315005,0.18399049109710983,0.3242422671438375
KTs,0.00937987656758616,0.8562024067638673,0.14361849419575737,9.795655416959287e-05,8.114248620577734e-05,0.6867246388217819,0.3098525295077687,0.0033416891842435173,8.114248620577734e-05,0.9255339812924361,0.07430373373515224,8.114248620577734e-05,8.114248620577734e-05,0.5687234890069924,0.4311142260205958,8.114248620577734e-05,8.114248620577734e-05,0.0693315745285689,0.12126169651282716,0.1694777679420853,0.3568104922854436
K9s,0.009346561760138525,0.5634528520299312,0.2383914092700354,0.19807459621382753,8.114248620577734e-05,0.993066615935007,0.006771099092581447,8.114248620577734e-05,8.114248620577734e-05,0.01931547896358094,0.9804161597665775,0.00018721878363576954,8.114248620577734e-05,0.9990616171672807,0.000776097860307792,8.114248620577734e-05,8.114248620577734e-05,0.742024750496542,0.0059950012322736775,0.4296137639050758,0.9797461382036997
K8s,0.009312227661772707,0.9544381485420713,0.0453995664855171,8.114248620577734e-05,8.114248620577734e-05,0.5664755964286876,0.30752567918207036,0.12591758190303623,8.114248620577734e-05,0.9492977838315665,0.00532982794583368,0.04529124573639407,8.114248620577734e-05,0.3856841865533204,0.20721208093610494,0.4070225900243691,8.114248620577734e-05,0.045210103250188274,0.28110500812133277,0.3879625521133837,0.5636135972782462
K7s,0.009246641620033112,0.9853016242214486,0.014518664023290339,9.856926905521617e-05,8.114248620577734e-05,0.9838538539443071,0.015966434300431903,9.856926905521617e-05,8.114248620577734e-05,0.3448935655785967,0.6549441494489917,8.114248620577734e-05,8.114248620577734e-05,0.676514976650195,0.32268751802902185,0.0007163628345773584,8.114248620577734e-05,0.6404254854257013,0.30733887729411213,0.0014477702771415277,0.3322566314199699
K6s,0.009205956292166879,0.15995114591207812,0.8398496065680013,0.00011810503371444533,8.114248620577734e-05,0.7752042072529421,0.22460387269276894,0.00011077756808309809,8.114248620577734e-05,0.15249910915967324,0.8230648418235799,0.02435490653054125,8.114248620577734e-05,0.97112593795067,0.026324412398820864,0.00246850716430328,8.114248620577734e-05,0.024236801496826582,0.19827946029394805,0.6152530613408639,0.8186268287909969
K5s,0.00918678371573703,0.9995162521879006,0.0003214628396878234,8.114248620577734e-05,8.114248620577734e-05,0.8567381222670996,0.14309959276048884,8.114248620577734e-05,8.114248620577734e-05,0.06622121564861282,0.9335940451469379,0.00010359671824340333,8.114248620577734e-05,0.6625683468171928,0.04324499377919585,0.2941055169174055,8.114248620577734e-05,0.9332950365392878,0.2940243744311998,0.14277812992080105,0.890349051367742
K4s,0.009096134702934562,0.9988621810096258,0.0009755340179627092,8.114248620577734e-05,8.114248620577734e-05,0.43801586561312716,0.5618218494144613,8.114248620577734e-05,8.114248620577734e-05,0.9995460613961387,0.0002916536314498036,8.114248620577734e-05,8.114248620577734e-05,0.9995460613961387,0.0002916536314498036,8.114248620577734e-05,8.114248620577734e-05,0.0006838803865129042,0.5615301957830114,0.5608463153964987,0.0
K3s,0.009006058986276266,0.17495098670845757,0.8248867283191309,8.114248620577734e-05,8.114248620577734e-05,0.09237876504748566,0.9074589499801028,8.114248620577734e-05,8.114248620577734e-05,0.31619239867282367,0.5345911010227159,0.1491353578182547,8.114248620577734e-05,0.15353513230525306,0.8463025827223354,8.114248620577734e-05,8.114248620577734e-05,0.290295627296415,0.06115636725776741,0.0825722216609719,0.3117114816996195
K2s,0.00871117416475761,0.007894438458503605,0.9390518405631562,0.052972578492134624,8.114248620577734e-05,0.28243528487312597,0.19879761700921117,0.518685955631457,8.114248620577734e-05,0.5004983274678148,0.36598970000334524,0.13343083004263437,8.114248620577734e-05,0.39857352111013655,0.5866805900060249,0.014664746397632739,8.114248620577734e-05,0.5730621405598109,0.5040212092338243,0.7402542235539449,0.22069089000267975
AQo,0.0031688804832390063,0.600536409603251,0.39347301176804683,0.005909436142496121,8.114248620577734e-05,0.9973117477129522,0.002525967314636245,8.114248620577734e-05,8.114248620577734e-05,0.9685619212431031,0.018469271375877967,0.012887664894813071,8.114248620577734e-05,0.14668147334613707,0.8523241053484754,0.0009132788191818042,8.114248620577734e-05,0.37500374039216894,0.850630274366815,0.396775338109701,0.8338548339725974
KQo,0.0031523886235230235,0.5383141230322542,0.46152359199533416,8.114248620577734e-05,8.114248620577734e-05,0.07199484988268753,0.9246693015734966,0.003254706057610161,8.114248620577734e-05,0.17514793111287724,0.8218482178405958,0.002922708560321393,8.114248620577734e-05,0.694539707158937,0.15239865991670742,0.1529804904381499,8.114248620577734e-05,0.3631661919193771,0.7722706416567892,0.4663192731495667,0.6694495579238884
QQ,0.004735112089351418,0.9561750548336975,0.04020116569568543,0.0012851372090562291,0.002338642261560953,0.3089179570316886,0.6863534540294177,0.0034579919249508465,0.0012705970139427682,0.000495944005408968,0.998880734905154,8.114248620577734e-05,0.0005421786032312436,0.06657851904752521,0.9328409276348856,8.114248620577734e-05,0.000499410831383499,0.9586795692094686,0.2464874736054678,0.648325143049627,0.06608257504211623
QJs,0.00937342408266976,0.013527654827534305,0.9863100602000541,8.114248620577734e-05,8.114248620577734e-05,0.51102701131504,0.48881070371254853,8.114248620577734e-05,8.114248620577734e-05,0.683209327767008,0.31662838726058046,8.114248620577734e-05,8.114248620577734e-05,0.8236177974973231,0.17621991753026528,8.114248620577734e-05,8.114248620577734e-05,0.6696816729394737,0.3125907861822832,0.49749935648750565,0.14040846973031512
QTs,0.009373671001366192,0.11278352385713314,0.8870541911704553,8.114248620577734e-05,8.114248620577734e-05,0.8130572251397419,0.18678048988784676,8.114248620577734e-05,8.114248620577734e-05,0.8518897713589163,0.14794794366867214,8.114248620577734e-05,8.114248620577734e-05,0.006515106636781376,0.9926193181896146,0.0007844326873983285,8.114248620577734e-05,0.7391062475017831,0.8065421185029604,0.7002737012826086,0.845374664722135
