bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-old,0,0.004790793724696479,185,2.371794871794872,5,0,0.0012034162405450794
first-old,1,0.009512847260521819,394,5.051282051282051,1,2,0.03530327850223269
first-old,2,0.009506641694301852,398,5.102564102564102,0,2,0.0011433805056475007
first-old,3,0.009429105229310572,373,4.782051282051282,0,5,0.10104571603391131
first-old,4,0.009429352148007004,346,4.435897435897436,0,6,0.12547321726184588
first-old,5,0.009396037340559372,376,4.82051282051282,0,4,0.1652473767439664
first-old,6,0.009361703242193552,380,4.871794871794871,1,3,0.19505798163337051
first-old,7,0.009296117200453959,418,5.358974358974359,1,9,0.14764014594583552
first-old,8,0.009255431872587724,356,4.564102564102564,0,11,0.22533285187644725
first-old,9,0.009236259296157876,372,4.769230769230769,0,4,0.5313580984323538
first-old,10,0.009145610283355409,386,4.948717948717949,1,4,0.0407451897815484
first-old,11,0.009055534566697113,380,4.871794871794871,2,1,0.0030918715194260143
first-old,12,0.008750471453727546,365,4.67948717948718,0,9,0.08654130516793149
first-old,13,0.00317094900525911,113,1.4487179487179487,21,2,0.0413706557752643
first-old,14,0.00474131789843658,182,2.3333333333333335,4,3,0.10540057923483948
first-old,15,0.009457166113881007,371,4.756410256410256,1,2,0.015112448812393627
first-old,16,0.009379629648889725,370,4.743589743589744,1,1,0.0061531922366332295
first-old,17,0.00937987656758616,363,4.653846153846154,0,2,0.14379759323613273
first-old,18,0.009346561760138525,395,5.064102564102564,0,6,0.2384725517562412
first-old,19,0.009312227661772707,382,4.897435897435898,0,4,0.04556185145792867
first-old,20,0.009246641620033112,362,4.641025641025641,1,0,0.014698375778551355
first-old,21,0.009205956292166879,370,4.743589743589744,0,1,0.009297371213240141
first-old,22,0.00918678371573703,344,4.410256410256411,1,0,0.0004837478120993723
first-old,23,0.009096134702934562,400,5.128205128205129,0,0,0.0011378189903742519
first-old,24,0.009006058986276266,373,4.782051282051282,0,1,0.17511327168086915
first-old,25,0.00871117416475761,356,4.564102564102564,3,1,0.06094815943684403
first-old,26,0.0031688804832390063,121,1.5512820512820513,15,6,0.08672552196759956
first-old,27,0.0031523886235230235,125,1.6025641025641026,14,6,0.048876467045698896
first-old,28,0.004735112089351418,206,2.641025641025641,6,3,0.08604471488212637
first-old,29,0.00937342408266976,421,5.397435897435898,0,3,0.013689939799945894
first-old,30,0.009373671001366192,368,4.717948717948718,1,1,0.07957630841881382
first-old,31,0.00934035619391856,353,4.5256410256410255,0,2,0.0053412863638745
first-old,32,0.009306022095552742,369,4.730769230769231,1,1,0.0015195763341491059
first-old,33,0.009240436053813146,402,5.153846153846154,1,1,0.026613941344689397
first-old,34,0.009199750725946912,344,4.410256410256411,1,0,0.0012359901875489735
first-old,35,0.009180578149517064,366,4.6923076923076925,2,9,0.16300903375195255
first-old,36,0.009089929136714596,346,4.435897435897436,1,3,0.020842534487086364
first-old,37,0.0089998534200563,356,4.564102564102564,1,2,0.026333904042916734
first-old,38,0.008706783739295723,356,4.564102564102564,0,4,0.028012046665442623
first-old,39,0.0031430349955735267,112,1.435897435897436,21,0,0.000835885372743247
first-old,40,0.0031265820393601806,120,1.5384615384615385,18,3,0.06538284990711421
first-old,41,0.0031308951109540934,138,1.7692307692307692,19,0,0.0007941857547970973
first-old,42,0.004657575877138198,193,2.4743589743589745,6,8,0.2161803901875079
first-old,43,0.00929613453637491,353,4.5256410256410255,1,8,0.15403995225391762
first-old,44,0.009262819728927278,329,4.217948717948718,0,4,0.014527034612412738
first-old,45,0.00922848563056146,361,4.628205128205129,0,1,0.049997344970308014
first-old,46,0.009162899588821865,376,4.82051282051282,1,6,0.14050751274058795
first-old,47,0.00912221426095563,364,4.666666666666667,1,4,0.032224250617819986
first-old,48,0.009103041684525784,349,4.4743589743589745,1,3,0.030308109004931857
first-old,49,0.009012392671723315,390,5.0,1,6,0.3626726100216834
first-old,50,0.008922321679882108,359,4.602564102564102,2,4,0.18153148978064743
first-old,51,0.008629658602692861,327,4.1923076923076925,0,1,0.017523230805259013
first-old,52,0.003143117301803553,120,1.5384615384615385,16,0,0.0005361313300995598
first-old,53,0.00312662544208757,116,1.4871794871794872,19,8,0.09597143981085171
first-old,54,0.003124612815858345,119,1.5256410256410255,17,11,0.08278740344096171
first-old,55,0.003105130327599686,133,1.705128205128205,15,2,0.16535018431784573
first-old,56,0.004657822776008899,174,2.230769230769231,12,7,0.16467801548062072
first-old,57,0.009263066647623712,378,4.846153846153846,0,6,0.008594992457714251
first-old,58,0.009228732549257894,372,4.769230769230769,0,7,0.014615036175081501
first-old,59,0.009163146507518297,403,5.166666666666667,0,12,0.17333056911079214
first-old,60,0.009122461179652064,368,4.717948717948718,1,8,0.15621853011685127
first-old,61,0.009103288603222215,337,4.32051282051282,2,6,0.12029533488605726
first-old,62,0.009012639590419749,350,4.487179487179487,0,14,0.7123218721230121
first-old,63,0.008922569928609137,356,4.564102564102564,0,1,0.03733421620278134
first-old,64,0.008629688899514034,340,4.358974358974359,1,3,0.11363965502539833
first-old,65,0.0031320123662733814,116,1.4871794871794872,18,5,0.029582138850490262
first-old,66,0.003115520506557398,120,1.5384615384615385,15,10,0.1367394256668324
first-old,67,0.0031134519845372947,112,1.435897435897436,17,3,0.10600435194729965
