oracle-2-balanced passed; 6591 values; max error 1.5603515617357289e-06
oracle-2-candidate passed; 6591 values; max error 1.5603515617357289e-06
oracle-2-balanced-zeros passed; 6591 values; max error 1.534311765638563e-06
oracle-2-candidate-zeros passed; 6591 values; max error 1.534311765638563e-06
oracle-3-balanced passed; 1859 values; max error 7.199039568916987e-07
oracle-3-candidate passed; 1859 values; max error 7.199039568916987e-07
oracle-3-balanced-zeros passed; 1859 values; max error 6.113843631361249e-07
oracle-3-candidate-zeros passed; 1859 values; max error 6.113843631361249e-07
oracle-8-balanced passed; 5239 values; max error 3.253151747983907e-08
oracle-8-candidate passed; 5239 values; max error 3.253151747983907e-08
oracle-8-balanced-zeros passed; 5239 values; max error 5.361189442387726e-08
oracle-8-candidate-zeros passed; 5239 values; max error 5.361189442387726e-08
oracle-2-balanced passed; 6591 values; max error 1.5603515617357289e-06
oracle-2-candidate passed; 6591 values; max error 1.5603515617357289e-06
oracle-2-balanced-zeros passed; 6591 values; max error 1.534311765638563e-06
oracle-2-candidate-zeros passed; 6591 values; max error 1.534311765638563e-06
oracle-3-balanced passed; 1859 values; max error 7.199039568916987e-07
oracle-3-candidate passed; 1859 values; max error 7.199039568916987e-07
oracle-3-balanced-zeros passed; 1859 values; max error 6.113843631361249e-07
oracle-3-candidate-zeros passed; 1859 values; max error 6.113843631361249e-07
oracle-8-balanced passed; 5239 values; max error 3.253151747983907e-08
oracle-8-candidate passed; 5239 values; max error 3.253151747983907e-08
oracle-8-balanced-zeros passed; 5239 values; max error 5.361189442387726e-08
oracle-8-candidate-zeros passed; 5239 values; max error 5.361189442387726e-08
