case,hand,action,gtopen_percent,wizard_percent,wizard_action_ev_bb,local_regret_bb,gtopen_incoming_weight,wizard_incoming_weight
nl25-utg-open,AA,Fold,9.98492e-08,0.0,0.0,2.2063351465817505e-06,1.0,1
nl25-utg-open,AA,Raise 6,99.999666,99.98,18.79,2.2063351465817505e-06,1.0,1
nl25-utg-open,AA,Allin 200,0.00033215724,0.02,18.23,2.2063351465817505e-06,1.0,1
nl25-utg-open,A5s,Fold,0.010484032,0.0,0.0,1.0611736887503054e-05,1.0,1
nl25-utg-open,A5s,Raise 6,99.989516,100.0,0.1,1.0611736887503054e-05,1.0,1
nl25-utg-open,A5s,Allin 200,2.0437902e-06,0.0,-6.25,1.0611736887503054e-05,1.0,1
nl25-utg-open,KQo,Fold,0.58643725,0.0,0.0,0.0005282646654528877,1.0,1
nl25-utg-open,KQo,Raise 6,99.41355,100.0,0.09,0.0005282646654528877,1.0,1
nl25-utg-open,KQo,Allin 200,5.0181818e-06,0.0,-9.16,0.0005282646654528877,1.0,1
nl25-utg-open,QJs,Fold,0.008036179,0.0,0.0,1.869392298299577e-06,1.0,1
nl25-utg-open,QJs,Raise 6,99.99196,100.0,0.02,1.869392298299577e-06,1.0,1
nl25-utg-open,QJs,Allin 200,2.9636315e-06,0.0,-8.82,1.869392298299577e-06,1.0,1
nl25-utg-open,99,Fold,0.00128993415,27.21,0.0,1.6453490746e-06,1.0,1
nl25-utg-open,99,Raise 6,99.99869,72.79,0.0,1.6453490746e-06,1.0,1
nl25-utg-open,99,Allin 200,2.4125353000000003e-05,0.0,-6.82,1.6453490746e-06,1.0,1
nl25-utg-open,88,Fold,0.0043653705,65.63,0.0,1.04585762e-06,1.0,1
nl25-utg-open,88,Raise 6,99.99562,34.37,0.0,1.04585762e-06,1.0,1
nl25-utg-open,88,Allin 200,1.4606949999999999e-05,0.0,-7.16,1.04585762e-06,1.0,1
nl25-utg-open,55,Fold,0.423443,79.12,0.0,3.18299982e-07,1.0,1
